Sample	Type	MethPipe_precision	MethPipe_recall	MethPipe_F1	MethylSeekR_precision	MethylSeekR_recall	MethylSeekR_F1	MMSeekR_precision	MMSeekR_recall	MMSeekR_F1
ESCC_Nonmalignant_1	ESCC_Nonmalignant	0.354915667229442	0.00687787720444154	0.0134942506006081	0.768779203132905	0.742969280063865	0.755653916545562	0.825528983144977	0.764762773060454	0.793984917457089
ESCC_Nonmalignant_2	ESCC_Nonmalignant	0.312435909784979	0.00430789462225125	0.00849860964497631	0.750325284848468	0.780490396255171	0.76511063496482	0.770250626003366	0.856357173234632	0.811024819966374
ESCC_Nonmalignant_3	ESCC_Nonmalignant	0.367436619098859	0.00446249147253066	0.00881789029774731	0.728317940442892	0.874285145511285	0.794654100094251	0.813546344870687	0.838468210320052	0.825819295178531
ESCC_Nonmalignant_53F	ESCC_Nonmalignant	0.341328152622907	0.00525315842949416	0.0103470718414104	0.726728439169336	0.878920191595907	0.79561155131243	0.80107638740536	0.849509190797591	0.824582212056756
ESCC_Nonmalignant_54M	ESCC_Nonmalignant	0.366968814679017	0.00719917337978083	0.0141213155917109	0.74989200463434	0.842154913273823	0.793350031363831	0.812313789371156	0.819551109659627	0.815916400758846
GEJ_1	EAC/GEJ_Tumor	0.411984494598568	0.00310869076130343	0.00617081868519948	0.714698684776724	0.886384067058567	0.791336395583095	0.7864087948445	0.838415572247623	0.811579876697815
GEJ_2	EAC/GEJ_Tumor	0.87870646533838	0.790544125117933	0.832297125246494	0.69675768753539	0.938042658393207	0.79959419521697	0.747210377996537	0.918944101894187	0.824226778514652
GEJ_3	EAC/GEJ_Tumor	0.942383896124902	0.580074278975252	0.718118458691425	0.730868380750672	0.907146774802235	0.809522295511495	0.840656380159462	0.856325651353509	0.848418673782559
GEJ_4	EAC/GEJ_Tumor	0.899612065269627	0.765002012482764	0.826864376053186	0.817115707722214	0.868386559982582	0.841971336535636	0.886886991798067	0.77705793961826	0.828347820302246
GEJ_5	EAC/GEJ_Tumor	0.904922598818641	0.756735692720807	0.824221481832242	0.706907731071322	0.91699700413673	0.798362437819291	0.793304688318352	0.894773553958923	0.840989519989672
GEJ_6	EAC/GEJ_Tumor	0.910760029726805	0.739759086290732	0.816401338078974	0.746967628237271	0.906687377168154	0.819114165242615	0.853898702720931	0.82531737208796	0.839364801148848
GEJ_7	EAC/GEJ_Tumor	0.92287375261938	0.650103696204369	0.762838193461069	0.697286968296457	0.928858322084331	0.796584176351736	0.777445325164727	0.904131966035271	0.836016487620984
GEJ_Nonmalignant_1	GEJ_Nonmalignant	0.430311945167969	0.00542320342550258	0.0107114113819028	0.728590786829045	0.891114078670441	0.801698533556874	0.805039258925347	0.851667679076856	0.827697284881885
GEJ_Nonmalignant_2	GEJ_Nonmalignant	0.326520845470908	0.00358991363669352	0.00710174754067092	0.753633233615314	0.871944940126279	0.808483646466993	0.8591388235302	0.763498063720154	0.808499835528407
GEJ_Nonmalignant_3	GEJ_Nonmalignant	0.440909123908992	0.00652315625226794	0.0128561091178863	0.697650150475075	0.916173961825967	0.792117179880134	0.76259896675414	0.890564937949053	0.821629240240816
GEJ_Nonmalignant_4	GEJ_Nonmalignant	0.939915091291341	0.510368187822048	0.661529742164877	0.745705541932735	0.890389773568474	0.811650253306716	0.842650830263379	0.80327920095798	0.822494119167708
GEJ_Nonmalignant_5	GEJ_Nonmalignant	0.47118397215709	0.00457704260105958	0.00906601863793226	0.691215095493415	0.927997608679875	0.792293630167408	0.767620086848946	0.89309254372596	0.825616381013182
GEJ_Nonmalignant_6	GEJ_Nonmalignant	0.922482190309598	0.609331560345453	0.73389798488474	0.741344149012106	0.902375962696857	0.813972081243147	0.841239074298976	0.818152969736556	0.829535430605452
GEJ_Nonmalignant_7	GEJ_Nonmalignant	0.445215950162393	0.00569637927280644	0.011248833730515	0.693245236626244	0.918744988025256	0.790222641406452	0.756734007228484	0.894693755715219	0.819951324783148
