Sample	Type	MethPipe_in_commonPMD	MethPipe_in_commonHMD	MethylSeekR_in_commonPMD	MethylSeekR_in_commonHMD	MMSeekR_in_commonPMD	MMSeekR_in_commonHMD
ESCC_20	ESCC_Tumor	0.838385508491048	0.0216170814401497	0.725292945140391	0.0563845311186035	0.783289397084129	0.0312096066495859
ESCC_21	ESCC_Tumor	0.909497924119289	0.010046456401866	0.718342436992924	0.0606124959748555	0.828052946390025	0.0184553056505671
ESCC_22	ESCC_Tumor	0.847754758204672	0.0247576795244522	0.660470030522749	0.0935514996570604	0.767331270195605	0.0356050388121686
ESCC_3	ESCC_Tumor	0.870880459066929	0.0159589181207248	0.738435441399215	0.0542135883389049	0.899626812965775	0.00709342203095808
ESCC_4	ESCC_Tumor	0.917892973627928	0.00725011987733074	0.764154759666725	0.0448835738132086	0.856415810355258	0.0130089402718773
ESCC_5	ESCC_Tumor	0.891287897123892	0.00984075960055509	0.714611398187202	0.0644817077006883	0.910785650068653	0.00587152639371657
ESCC_6	ESCC_Tumor	0.935800346412555	0.0058528730380823	0.709821494342923	0.0722181113483145	0.784352312155732	0.0384536823673643
ESCC_7	ESCC_Tumor	0.850806455079856	0.020711143948527	0.77744955394919	0.0439682785541601	0.844327590730587	0.018118689362667
ESCC_8	ESCC_Tumor	0.389139563436519	0.239236178494908	0.760486348819083	0.0509655641364714	0.855900207191863	0.0157895382172507
ESCC_9	ESCC_Tumor	0.852864214212925	0.0172490320074281	0.787175601823162	0.0353216607278055	0.867896629483345	0.0127415734584758
ESCC_Nonmalignant_1	ESCC_Nonmalignant	0.354915667229442	0.222840902137105	0.768779203132905	0.0579135039892225	0.825528983144977	0.0272016584266608
ESCC_Nonmalignant_2	ESCC_Nonmalignant	0.312435909784979	0.236551358230944	0.750325284848468	0.0625151466953408	0.770250626003366	0.0442418270396351
ESCC_Nonmalignant_3	ESCC_Nonmalignant	0.367436619098859	0.245211314089691	0.728317940442892	0.0697665966926889	0.813546344870687	0.0263531800152915
ESCC_Nonmalignant_53F	ESCC_Nonmalignant	0.341328152622907	0.280039646600326	0.726728439169336	0.0681262225815904	0.80107638740536	0.0304445523526212
ESCC_Nonmalignant_54M	ESCC_Nonmalignant	0.366968814679017	0.257818267563061	0.74989200463434	0.0591627836058249	0.812313789371156	0.0267064651070782
GEJ_1	EAC/GEJ_Tumor	0.411984494598568	0.204523046746171	0.714698684776724	0.0710936735057106	0.7864087948445	0.0287942307996133
GEJ_2	EAC/GEJ_Tumor	0.87870646533838	0.0110831349487878	0.69675768753539	0.0659088868691509	0.747210377996537	0.0400624072018053
GEJ_3	EAC/GEJ_Tumor	0.942383896124902	0.00419399582387834	0.730868380750672	0.062283197961903	0.840656380159462	0.0157717975482196
GEJ_4	EAC/GEJ_Tumor	0.899612065269627	0.00800152756904803	0.817115707722214	0.0237108879077382	0.886886991798067	0.00688289069546037
GEJ_5	EAC/GEJ_Tumor	0.904922598818641	0.00710083403164434	0.706907731071322	0.0641897571556011	0.793304688318352	0.0233604219165407
GEJ_6	EAC/GEJ_Tumor	0.910760029726805	0.00886665612291577	0.746967628237271	0.054589832116287	0.853898702720931	0.0148651001596756
GEJ_7	EAC/GEJ_Tumor	0.92287375261938	0.00719908030877027	0.697286968296457	0.0745364329352769	0.777445325164727	0.0289432510829255
