barcode	disease	samples	x	y	type	color	cancerType	Label	delta_ESCCDMRsVSEACDMRs
TCGA-BT-A20N	BLCA	TCGA-BT-A20N-01	312	139	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.155431009642786
TCGA-BT-A20O	BLCA	TCGA-BT-A20O-01	160	229	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0621669719252753
TCGA-BT-A20U	BLCA	TCGA-BT-A20U-01	322	164	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.122361487529183
TCGA-BT-A20V	BLCA	TCGA-BT-A20V-01	297	124	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.170492102211695
TCGA-BT-A20X	BLCA	TCGA-BT-A20X-01	330	156	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.189901434432847
TCGA-BT-A2LD	BLCA	TCGA-BT-A2LD-01	329	200	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0477817500221998
TCGA-BT-A3PJ	BLCA	TCGA-BT-A3PJ-01	411	144	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.12804650847752
TCGA-BT-A3PK	BLCA	TCGA-BT-A3PK-01	297	167	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0809511274995929
TCGA-BT-A42E	BLCA	TCGA-BT-A42E-01	278	116	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.182397052449024
TCGA-BT-A42F	BLCA	TCGA-BT-A42F-01	322	173	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0878370114781023
TCGA-C4-A0F0	BLCA	TCGA-C4-A0F0-01	338	136	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.245255564268577
TCGA-CF-A1HS	BLCA	TCGA-CF-A1HS-01	340	159	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.186883164500538
TCGA-CU-A0YN	BLCA	TCGA-CU-A0YN-01	420	143	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.121840654118713
TCGA-CU-A3KJ	BLCA	TCGA-CU-A3KJ-01	333	81	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.299581461508602
TCGA-CU-A72E	BLCA	TCGA-CU-A72E-01	192	212	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.146723282377558
TCGA-DK-A1A5	BLCA	TCGA-DK-A1A5-01	331	85	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.112802575418029
TCGA-DK-A1AB	BLCA	TCGA-DK-A1AB-01	292	170	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.207599968655543
TCGA-DK-A1AE	BLCA	TCGA-DK-A1AE-01	192	208	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.193838068355801
TCGA-DK-A2I2	BLCA	TCGA-DK-A2I2-01	312	170	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.134118425821913
TCGA-DK-A2I4	BLCA	TCGA-DK-A2I4-01	280	195	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.00538836039446133
TCGA-DK-A2I6	BLCA	TCGA-DK-A2I6-01	254	101	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.143412782894396
TCGA-DK-A3IM	BLCA	TCGA-DK-A3IM-01	341	121	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.324086744076466
TCGA-DK-A3IN	BLCA	TCGA-DK-A3IN-01	295	167	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0676730195687726
TCGA-DK-A3IU	BLCA	TCGA-DK-A3IU-01	229	203	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0439311884524666
TCGA-DK-A3WW	BLCA	TCGA-DK-A3WW-01	352	156	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.181365570983111
TCGA-DK-A3WX	BLCA	TCGA-DK-A3WX-01	296	165	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0954775117384912
TCGA-DK-A3X2	BLCA	TCGA-DK-A3X2-01	332	206	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.262091061196985
TCGA-DK-A6B5	BLCA	TCGA-DK-A6B5-01	195	212	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.139250887639979
TCGA-DK-AA6L	BLCA	TCGA-DK-AA6L-01	327	179	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.114765301055781
TCGA-DK-AA6M	BLCA	TCGA-DK-AA6M-01	321	180	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.137195097414897
TCGA-DK-AA6Q	BLCA	TCGA-DK-AA6Q-01	310	140	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.270887430130568
TCGA-DK-AA6R	BLCA	TCGA-DK-AA6R-01	277	88	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.18518589350098
TCGA-DK-AA6S	BLCA	TCGA-DK-AA6S-01	280	156	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.127697464860985
TCGA-DK-AA74	BLCA	TCGA-DK-AA74-01	298	174	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.106907635265732
TCGA-E5-A2PC	BLCA	TCGA-E5-A2PC-01	153	194	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.156250551467322
TCGA-E5-A4TZ	BLCA	TCGA-E5-A4TZ-01	310	201	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.164657435656386
TCGA-E7-A3X6	BLCA	TCGA-E7-A3X6-01	274	152	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.110850904950988
TCGA-E7-A7DV	BLCA	TCGA-E7-A7DV-01	308	178	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0422338155392027
TCGA-E7-A7XN	BLCA	TCGA-E7-A7XN-01	349	166	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.130092292728303
TCGA-E7-A97P	BLCA	TCGA-E7-A97P-01	300	167	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.151325795927077
TCGA-FD-A3B3	BLCA	TCGA-FD-A3B3-01	298	171	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.102857003996983
TCGA-FD-A3B4	BLCA	TCGA-FD-A3B4-01	320	163	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.302953065800377
TCGA-FD-A3B5	BLCA	TCGA-FD-A3B5-01	196	210	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.232996502651687
TCGA-FD-A3B6	BLCA	TCGA-FD-A3B6-01	411	143	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0334414026258176
TCGA-FD-A3B7	BLCA	TCGA-FD-A3B7-01	416	140	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0961863763180126
TCGA-FD-A3B8	BLCA	TCGA-FD-A3B8-01	230	207	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0598942694980191
TCGA-FD-A3N5	BLCA	TCGA-FD-A3N5-01	417	143	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.165919258061105
TCGA-FD-A3N6	BLCA	TCGA-FD-A3N6-01	351	149	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.336645716136063
TCGA-FD-A3SN	BLCA	TCGA-FD-A3SN-01	342	162	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.089256903080105
TCGA-FD-A3SO	BLCA	TCGA-FD-A3SO-01	325	168	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.144574528510543
TCGA-FD-A3SP	BLCA	TCGA-FD-A3SP-01	166	226	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.109116518435394
TCGA-FD-A3SS	BLCA	TCGA-FD-A3SS-01	339	210	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0507636361746525
TCGA-FD-A43Y	BLCA	TCGA-FD-A43Y-01	314	162	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.184624521884876
