SampleName	cancerType	Label	delta_ESCCDMRsVSEACDMRs
TCGA-4A-A93X_T	KIRP	Other cancers	0.0941606801060805
TCGA-4A-A93Y_T	KIRP	Other cancers	-0.0277320301927988
TCGA-4B-A93V_T	LUAD	Other cancers	0.0447900234719536
TCGA-4C-A93U_T	THCA	Other cancers	-0.0718998187622869
TCGA-4E-A92E_T	UCEC	Other cancers	0.00838150321311559
TCGA-4G-AAZO_T	CHOL	Other cancers	0.177396124267903
TCGA-4G-AAZT_T	CHOL	Other cancers	0.16013932584696
TCGA-4H-AAAK_T	BRCA	Other cancers	-0.0582337600751915
TCGA-4J-AA1J_T	CESC (Sq)	Squamous cancers	-0.225522113618621
TCGA-4K-AA1G_T	TGCT	Other cancers	-0.0172131999857812
TCGA-4K-AA1H_T	TGCT	Other cancers	-0.0415386381061938
TCGA-4K-AA1I_T	TGCT	Other cancers	-0.0364335654934457
TCGA-4K-AAAL_T	TGCT	Other cancers	-0.032864316073119
TCGA-4L-AA1F_T	PRAD	Other cancers	-0.00374198231248801
TCGA-4N-A93T_T	COAD	GI cancers	0.338891656771582
TCGA-4P-AA8J_T	HNSC	Squamous cancers	-0.194402437394407
TCGA-4R-AA8I_T	LIHC	Other cancers	0.136383610441957
TCGA-4T-AA8H_T	COAD	GI cancers	0.349759706221498
TCGA-4V-A9QI_T	THYM	Other cancers	-0.0600891818078053
TCGA-4V-A9QJ_T	THYM	Other cancers	-0.0696283669176654
TCGA-4V-A9QL_T	THYM	Other cancers	-0.135620865181064
TCGA-4V-A9QM_T	THYM	Other cancers	-0.147199616482241
TCGA-4V-A9QN_T	THYM	Other cancers	-0.294072488798987
TCGA-4V-A9QQ_T	THYM	Other cancers	-0.0706300907810163
TCGA-4V-A9QR_T	THYM	Other cancers	-0.140120381760226
TCGA-4V-A9QS_T	THYM	Other cancers	-0.0891274564419394
TCGA-4V-A9QT_T	THYM	Other cancers	-0.0411635363415105
TCGA-4V-A9QU_T	THYM	Other cancers	-0.084401184185723
TCGA-4V-A9QW_T	THYM	Other cancers	-0.0738886578889738
TCGA-4V-A9QX_T	THYM	Other cancers	-0.0873091077929596
TCGA-4W-AA9R_T	GBM	Other cancers	-0.115429700850378
TCGA-4W-AA9S_T	GBM	Other cancers	-0.129907735090294
TCGA-4W-AA9T_T	GBM	Other cancers	-0.103454027684945
TCGA-4X-A9F9_T	THYM	Other cancers	-0.0484687096207318
TCGA-4X-A9FA_T	THYM	Other cancers	-0.215113924606694
TCGA-4X-A9FB_T	THYM	Other cancers	-0.0489973320263221
TCGA-4X-A9FC_T	THYM	Other cancers	-0.0745222396532993
TCGA-4X-A9FD_T	THYM	Other cancers	-0.151199985422004
TCGA-4Z-AA7M_T	BLCA (Others)	Other cancers	-0.0962019427476645
TCGA-4Z-AA7N_T	BLCA (Others)	Other cancers	-0.0390771709621481
TCGA-4Z-AA7O_T	BLCA (Others)	Other cancers	-0.04575116907927
TCGA-4Z-AA7Q_T	BLCA (Ba/Sq)	Squamous cancers	-0.111617097722495
TCGA-4Z-AA7R_T	BLCA (Others)	Other cancers	0.0810919927781805
TCGA-4Z-AA7S_T	BLCA (Others)	Other cancers	-0.00826890074892528
TCGA-4Z-AA7W_T	BLCA (Ba/Sq)	Squamous cancers	-0.107826401600369
TCGA-4Z-AA7Y_T	BLCA (Others)	Other cancers	-0.0623682884377503
TCGA-4Z-AA80_T	BLCA (Others)	Other cancers	-0.01582029719981
TCGA-4Z-AA81_T	BLCA (Ba/Sq)	Squamous cancers	-0.00769964067490059
TCGA-4Z-AA82_T	BLCA (Ba/Sq)	Squamous cancers	-0.186256492242772
TCGA-4Z-AA83_T	BLCA (Others)	Other cancers	-0.0771389007742467
TCGA-4Z-AA84_T	BLCA (Ba/Sq)	Squamous cancers	-0.0178632995250059
TCGA-4Z-AA86_T	BLCA (Ba/Sq)	Squamous cancers	-0.11467699347144
TCGA-4Z-AA87_T	BLCA (Others)	Other cancers	-0.003921243836983
TCGA-4Z-AA89_T	BLCA (Others)	Other cancers	-0.0612606435401212
TCGA-50-5044_T	LUAD	Other cancers	-0.0116365600659573
TCGA-50-5045_T	LUAD	Other cancers	-0.0291796011086923
TCGA-50-5049_T	LUAD	Other cancers	-0.0162873188079949
TCGA-50-5051_T	LUAD	Other cancers	0.0743173941781914
TCGA-50-5055_T	LUAD	Other cancers	-0.0118313541859602
TCGA-50-5066_T	LUAD	Other cancers	-0.0212089005385694
TCGA-50-5068_T	LUAD	Other cancers	0.00185532863435811
TCGA-50-5072_T	LUAD	Other cancers	0.0280726264938173
TCGA-50-5930_T	LUAD	Other cancers	0.0187352648955872
TCGA-50-5931_T	LUAD	Other cancers	-0.147757819413895
TCGA-50-5932_T	LUAD	Other cancers	0.110113407786399
TCGA-50-5933_T	LUAD	Other cancers	-0.0217033607805401
TCGA-50-5935_T	LUAD	Other cancers	0.0462345300869115
TCGA-50-5936_T	LUAD	Other cancers	0.0481888931582034
TCGA-50-5939_T	LUAD	Other cancers	-0.0181023267263745
TCGA-50-5941_T	LUAD	Other cancers	0.0241820193879332
TCGA-50-5942_T	LUAD	Other cancers	0.0788339947661437
TCGA-50-5944_T	LUAD	Other cancers	0.0712991238370198
TCGA-50-5946_T	LUAD	Other cancers	-0.0230359404276987
TCGA-50-6590_T	LUAD	Other cancers	-0.0429107116512157
TCGA-50-6591_T	LUAD	Other cancers	-0.0707925324345325
TCGA-50-6592_T	LUAD	Other cancers	0.00894448844937235
TCGA-50-6593_T	LUAD	Other cancers	0.00325209865342502
TCGA-50-6594_T	LUAD	Other cancers	0.00781423535937698
TCGA-50-6595_T	LUAD	Other cancers	-0.0434534216803634
TCGA-50-6597_T	LUAD	Other cancers	0.0937639582710864
TCGA-50-6673_T	LUAD	Other cancers	0.069770025243304
TCGA-50-7109_T	LUAD	Other cancers	0.0308173274837763
TCGA-50-8457_T	LUAD	Other cancers	0.00377610418347862
TCGA-50-8459_T	LUAD	Other cancers	0.0744656806809072
TCGA-50-8460_T	LUAD	Other cancers	0.0179417270741835
TCGA-51-6867_T	LUSC	Squamous cancers	-0.255283461557002
TCGA-52-7622_T	LUSC	Squamous cancers	-0.156280166451186
TCGA-52-7809_T	LUSC	Squamous cancers	-0.156921276051275
TCGA-52-7810_T	LUSC	Squamous cancers	-0.287518789826966
TCGA-52-7811_T	LUSC	Squamous cancers	-0.196689726683905
TCGA-52-7812_T	LUSC	Squamous cancers	-0.0110560295431076
TCGA-53-7624_T	LUAD	Other cancers	-0.0398884074196943
TCGA-53-7626_T	LUAD	Other cancers	-0.00132581034359547
TCGA-53-7813_T	LUAD	Other cancers	0.0478782248812334
TCGA-53-A4EZ_T	LUAD	Other cancers	0.080535892039107
TCGA-55-5899_T	LUAD	Other cancers	0.0824649702984339
TCGA-55-6543_T	LUAD	Other cancers	0.0726403618525311
TCGA-55-6642_T	LUAD	Other cancers	0.0130535405047594
TCGA-55-6712_T	LUAD	Other cancers	0.00435498704377113
TCGA-55-6968_T	LUAD	Other cancers	-0.0269587768196754
TCGA-55-6969_T	LUAD	Other cancers	0.00146741762989777
TCGA-55-6970_T	LUAD	Other cancers	0.0352006965751268
TCGA-55-6971_T	LUAD	Other cancers	0.024876137771501
TCGA-55-6972_T	LUAD	Other cancers	0.0821657133724954
TCGA-55-6975_T	LUAD	Other cancers	-0.036252363492527
TCGA-55-6978_T	LUAD	Other cancers	-0.0263398478120325
