gene	Expression	Type	Domain
ENSG000002322861	-3.26396425422594	ESCC_Tumor	EAC_specificPMDs
ENSG000001819651	-2.92689303496591	ESCC_Tumor	EAC_specificPMDs
ENSG000002658851	-3.14135696905368	ESCC_Tumor	EAC_specificPMDs
ENSG000002417411	0.97750451838836	ESCC_Tumor	EAC_specificPMDs
ENSG000001656851	-1.40320912607384	ESCC_Tumor	EAC_specificPMDs
ENSG000002663561	-2.37473220338924	ESCC_Tumor	EAC_specificPMDs
ENSG000002512581	-3.18512267945107	ESCC_Tumor	EAC_specificPMDs
ENSG000002037851	5.55691530334602	ESCC_Tumor	EAC_specificPMDs
ENSG000002549311	-3.10495231349339	ESCC_Tumor	EAC_specificPMDs
ENSG000002443581	-2.43059491846834	ESCC_Tumor	EAC_specificPMDs
ENSG000002281411	-3.12968038778495	ESCC_Tumor	EAC_specificPMDs
ENSG000002247431	-2.93273237627449	ESCC_Tumor	EAC_specificPMDs
ENSG000002508901	-2.93233520653939	ESCC_Tumor	EAC_specificPMDs
ENSG000002412201	-1.88448619945113	ESCC_Tumor	EAC_specificPMDs
ENSG000002747091	-3.05467296074103	ESCC_Tumor	EAC_specificPMDs
ENSG000002529081	-2.54329773730932	ESCC_Tumor	EAC_specificPMDs
ENSG000002798811	-2.85117792988597	ESCC_Tumor	EAC_specificPMDs
ENSG000002562851	-3.27509877857613	ESCC_Tumor	EAC_specificPMDs
ENSG000002508061	-3.31114397869696	ESCC_Tumor	EAC_specificPMDs
ENSG000002197901	-2.61942420187082	ESCC_Tumor	EAC_specificPMDs
ENSG000002519751	-3.09116908953714	ESCC_Tumor	EAC_specificPMDs
ENSG000002590181	-3.32192809488736	ESCC_Tumor	EAC_specificPMDs
ENSG000002279201	-3.20664686790947	ESCC_Tumor	EAC_specificPMDs
ENSG000002075591	-2.89235808745469	ESCC_Tumor	EAC_specificPMDs
ENSG000002437951	-2.88094715413675	ESCC_Tumor	EAC_specificPMDs
ENSG000002781301	-3.03734063701202	ESCC_Tumor	EAC_specificPMDs
ENSG000002601631	-3.17126701661417	ESCC_Tumor	EAC_specificPMDs
ENSG000002538511	-3.32192809488736	ESCC_Tumor	EAC_specificPMDs
ENSG000002775921	-3.15208752384287	ESCC_Tumor	EAC_specificPMDs
ENSG000002712521	0.0648488159825146	ESCC_Tumor	EAC_specificPMDs
ENSG000002726391	-3.32192809488736	ESCC_Tumor	EAC_specificPMDs
ENSG000002187301	-2.96834176734603	ESCC_Tumor	EAC_specificPMDs
ENSG000002137171	-2.28997576187	ESCC_Tumor	EAC_specificPMDs
ENSG000001994501	-3.24763162125746	ESCC_Tumor	EAC_specificPMDs
ENSG000002491501	-2.95379553615056	ESCC_Tumor	EAC_specificPMDs
ENSG000002416651	-3.18129637316184	ESCC_Tumor	EAC_specificPMDs
ENSG000002538921	-2.89822730186246	ESCC_Tumor	EAC_specificPMDs
ENSG000002229521	-2.85708115200867	ESCC_Tumor	EAC_specificPMDs
ENSG000002124991	-2.95470577760148	ESCC_Tumor	EAC_specificPMDs
ENSG000002223021	-1.42252568282258	ESCC_Tumor	EAC_specificPMDs
ENSG000002326921	-2.20529492225295	ESCC_Tumor	EAC_specificPMDs
ENSG000002124851	-2.98982828957974	ESCC_Tumor	EAC_specificPMDs
ENSG000002277691	-2.70170475848303	ESCC_Tumor	EAC_specificPMDs
ENSG000002813271	-1.89184591416418	ESCC_Tumor	EAC_specificPMDs
ENSG000002767061	-3.1498191993092	ESCC_Tumor	EAC_specificPMDs
ENSG000002224961	-3.15613753212756	ESCC_Tumor	EAC_specificPMDs
ENSG000002588951	-1.26745705598875	ESCC_Tumor	EAC_specificPMDs
ENSG000002341521	-1.1953230672039	ESCC_Tumor	EAC_specificPMDs
ENSG000002597241	-3.17371324495752	ESCC_Tumor	EAC_specificPMDs
ENSG000001879871	-1.76035564043772	ESCC_Tumor	EAC_specificPMDs
ENSG000002015231	-3.06191008422223	ESCC_Tumor	EAC_specificPMDs
ENSG000002362681	-2.3960447359742	ESCC_Tumor	EAC_specificPMDs
ENSG000002645251	-2.96615917549595	ESCC_Tumor	EAC_specificPMDs
ENSG000002517561	-1.57321302692434	ESCC_Tumor	EAC_specificPMDs
