FDR	deltaMethylation	Type
0.320697292514404	-0.0789202380952381	non-change
0.031645627255813	-0.0140571428571429	non-change
0.0311150025528424	0.0110642857142857	non-change
0.0334257061798569	-0.0138214285714286	non-change
0.13325808786609	0.0351630952380952	non-change
0.0154428347833411	0.00898214285714283	non-change
0.273546535626039	0.067847619047619	non-change
0.460765891284729	0.0870714285714286	non-change
0.018139712159321	0.00994285714285714	non-change
0.0374111424311351	0.0197047619047619	non-change
0.227554279998162	0.0618333333333333	non-change
0.146440003125021	0.0500452380952381	non-change
0.0600464005044785	0.0213297619047619	non-change
0.337950331898953	0.0751678571428571	non-change
0.179458367145467	0.050825	non-change
0.0594629220670154	0.023522619047619	non-change
0.17013147308192	0.0553833333333333	non-change
0.589951393137934	-0.0902285714285715	non-change
0.0659011079775102	-0.0249630952380952	non-change
0.0949052170974616	0.0382845238095238	non-change
0.0154428347833411	0.0087261904761905	non-change
0.0431367034542391	-0.0206166666666667	non-change
0.149937194330892	-0.0395071428571429	non-change
0.0262959375189633	-0.0119904761904762	non-change
0.0497188113446761	0.0183440476190476	non-change
0.46036405608315	0.0820833333333333	non-change
0.234600903177905	0.059252380952381	non-change
0.0284965773611694	0.0135988095238095	non-change
0.0445359088751101	-0.0236904761904762	non-change
0.0126341079460289	-0.00704761904761902	non-change
0.0628346747766291	0.025722619047619	non-change
0.0374111424311351	-0.0179142857142857	non-change
0.123314740192793	-0.0340595238095238	non-change
0.149553003647206	-0.0379738095238095	non-change
0.0536447939569704	-0.0221202380952381	non-change
0.359093955349531	-0.0752785714285714	non-change
0.28751081766556	-0.075597619047619	non-change
0.445744882305478	-0.0942571428571428	non-change
0.0674161837376946	-0.0309511904761905	non-change
0.00724468393898858	0.00342500000000001	non-change
0.160508309846327	0.0432833333333333	non-change
0.185439484102417	0.0507833333333333	non-change
0.206108636051905	-0.0559202380952381	non-change
0.0226548079046191	-0.0108928571428571	non-change
0.0829553348608022	0.0311309523809524	non-change
0.0912229612814086	0.0335916666666666	non-change
0.0284965773611694	0.0112619047619048	non-change
0.071927067283511	0.028375	non-change
0.313251339887634	0.0785226190476191	non-change
0.375951959149712	0.0853833333333333	non-change
0.49845102986666	0.103164285714286	non-change
0.5852369166274	0.118339285714286	non-change
0.502754755774388	0.109239285714286	non-change
0.449961982033677	0.0973226190476191	non-change
0.918324406541182	0.149886904761905	non-change
0.442453449009648	0.0951678571428571	non-change
0.482597704575758	0.0896047619047619	non-change
0.0332073863070771	0.0170273809523809	non-change
0.114954756500752	0.0370821428571429	non-change
0.0347196555285951	0.0165595238095239	non-change
0.0208629144703211	-0.0114285714285714	non-change
0.00976092806387035	0.00574404761904757	non-change
0.123424177194709	0.0466535714285714	non-change
0.328409354965061	-0.0822619047619048	non-change
0.0665443420277781	-0.0264714285714285	non-change
0.0322550263604495	-0.0197297619047619	non-change
0.271646044110648	-0.0792166666666667	non-change
0.0782602312965741	-0.0246845238095238	non-change
0.562392927622982	-0.0876083333333333	non-change
0.267745714750102	0.0731142857142857	non-change
0.0677084417821695	-0.0274821428571428	non-change
0.5852369166274	0.105355952380952	non-change
0.036657706763648	-0.0137976190476191	non-change
0.517021876116114	0.0948785714285714	non-change
0.137989034754337	0.0362916666666667	non-change
0.0414130429925074	0.0194369047619047	non-change
0.067032647624487	0.0249630952380952	non-change
0.0858031332059261	0.0275511904761905	non-change
0.04808694485584	-0.0199690476190476	non-change
0.0362456873289862	0.013552380952381	non-change
0.209990562050302	0.0587107142857143	non-change
0.839868064972469	0.155536904761905	non-change
0.597171042604453	0.116484523809524	non-change
0.493653226347777	0.109729761904762	non-change
0.693195772229782	0.132277380952381	non-change
0.428243439696163	0.0912523809523809	non-change
0.941122294255326	0.163242857142857	non-change
0.848491103237412	0.155507142857143	non-change
1.00253451662621	0.175959523809524	Up
1.22085257489915	0.176451190476191	Up
0.358726650045986	0.0705428571428571	non-change
0.0672956479078901	-0.0289797619047619	non-change
0.264070753841047	-0.0696690476190476	non-change
0.72387941379159	-0.138394047619048	non-change
0.978886875478567	-0.145222619047619	non-change
0.590962714127942	-0.120901190476191	non-change
0.607632202104056	-0.118865476190476	non-change
0.0414130429925074	-0.0194690476190476	non-change
0.171338541138696	0.053072619047619	non-change
0.480972032120923	0.112539285714286	non-change
0.460539869468802	0.100588095238095	non-change
0.0374111424311351	-0.0181023809523809	non-change
0.0129625998453985	0.0092059523809524	non-change
0.00324455742086331	-0.00144404761904759	non-change
0.0493609071749611	-0.0218916666666667	non-change
0.0226548079046191	0.0106952380952381	non-change
0.0689675546922829	-0.0210702380952381	non-change
0.273546535626039	0.0718416666666667	non-change
0.552101669100198	0.107802380952381	non-change
0.806444152418851	0.150592857142857	non-change
0.0593117070846208	0.0218940476190476	non-change
0.521455509481862	0.110447619047619	non-change
