Sample	Type	Method	Ratio
EAC_6	EAC/GEJ_Tumor	MMSeekR	0.843295290529952
ESCC_1	ESCC_Tumor	MMSeekR	0.641042298912462
ESCC_10	ESCC_Tumor	MMSeekR	0.697819366439998
ESCC_11	ESCC_Tumor	MMSeekR	0.685374986665417
ESCC_12	ESCC_Tumor	MMSeekR	0.744081993152491
ESCC_13	ESCC_Tumor	MMSeekR	0.68319078695511
ESCC_14	ESCC_Tumor	MMSeekR	0.796458180192656
ESCC_15	ESCC_Tumor	MMSeekR	0.82908168796847
ESCC_16	ESCC_Tumor	MMSeekR	0.752598034650457
ESCC_17	ESCC_Tumor	MMSeekR	0.720027398114644
ESCC_19	ESCC_Tumor	MMSeekR	0.803658006099976
ESCC_2	ESCC_Tumor	MMSeekR	0.821230047242095
ESCC_20	ESCC_Tumor	MMSeekR	0.804756224098875
ESCC_21	ESCC_Tumor	MMSeekR	0.833834462789684
ESCC_22	ESCC_Tumor	MMSeekR	0.800399876866357
ESCC_3	ESCC_Tumor	MMSeekR	0.721240676833079
ESCC_4	ESCC_Tumor	MMSeekR	0.828132240184473
ESCC_5	ESCC_Tumor	MMSeekR	0.775492792990632
ESCC_6	ESCC_Tumor	MMSeekR	0.817063819532959
ESCC_7	ESCC_Tumor	MMSeekR	0.541462518407286
ESCC_8	ESCC_Tumor	MMSeekR	0.804626050826311
ESCC_9	ESCC_Tumor	MMSeekR	0.77848305004844
ESCC_Nonmalignant_1	ESCC_Nonmalignant	MMSeekR	0.793984917457089
ESCC_Nonmalignant_2	ESCC_Nonmalignant	MMSeekR	0.811024819966374
ESCC_Nonmalignant_3	ESCC_Nonmalignant	MMSeekR	0.825819295178531
ESCC_Nonmalignant_53F	ESCC_Nonmalignant	MMSeekR	0.824582212056756
ESCC_Nonmalignant_54M	ESCC_Nonmalignant	MMSeekR	0.815916400758846
GEJ_1	EAC/GEJ_Tumor	MMSeekR	0.811579876697815
GEJ_2	EAC/GEJ_Tumor	MMSeekR	0.824226778514652
GEJ_3	EAC/GEJ_Tumor	MMSeekR	0.848418673782559
GEJ_4	EAC/GEJ_Tumor	MMSeekR	0.828347820302246
GEJ_5	EAC/GEJ_Tumor	MMSeekR	0.840989519989672
GEJ_6	EAC/GEJ_Tumor	MMSeekR	0.839364801148848
GEJ_7	EAC/GEJ_Tumor	MMSeekR	0.836016487620984
GEJ_Nonmalignant_1	GEJ_Nonmalignant	MMSeekR	0.827697284881885
GEJ_Nonmalignant_2	GEJ_Nonmalignant	MMSeekR	0.808499835528407
GEJ_Nonmalignant_3	GEJ_Nonmalignant	MMSeekR	0.821629240240816
GEJ_Nonmalignant_4	GEJ_Nonmalignant	MMSeekR	0.822494119167708
GEJ_Nonmalignant_5	GEJ_Nonmalignant	MMSeekR	0.825616381013182
GEJ_Nonmalignant_6	GEJ_Nonmalignant	MMSeekR	0.829535430605452
GEJ_Nonmalignant_7	GEJ_Nonmalignant	MMSeekR	0.819951324783148
