Sample	hypoEAC	hypoESCC	Type	Source
GSM2150681	0.509191268889544	0.674630081358476	EAC	GSE81334
GSM2150682	0.440720138189671	0.732925469226922	EAC	GSE81334
GSM2150683	0.461043798742782	0.605731321071523	EAC	GSE81334
GSM2150684	0.349602086924723	0.687469413834983	EAC	GSE81334
GSM2150685	0.432297782761988	0.628067872191317	EAC	GSE81334
GSM2150686	0.364473454042045	0.738026653676611	EAC	GSE81334
GSM2150687	0.675316177573987	0.305461652479144	squamous	GSE81334
GSM2150688	0.684540927041319	0.318735305632512	squamous	GSE81334
GSM2150689	0.692223058479038	0.307974678300478	squamous	GSE81334
GSM2150690	0.660275530382078	0.324258475402434	squamous	GSE81334
GSM2150691	0.694884667491487	0.272572814128174	squamous	GSE81334
GSM2150692	0.689314614696142	0.263850390953071	squamous	GSE81334
