Sample	ESCC_specificPMDs	EAC_specificPMDs	SharedPMDs	SharedHMDs	Type	Source
GSM2150657	0.620151498239596	0.559585600102109	0.547533123011282	0.594838188731557	BE	GSE81334
GSM2150658	0.638031831229934	0.534082309211343	0.506544727175353	0.595924209884349	BE	GSE81334
GSM2150659	0.584537755468036	0.49371203083763	0.458424334214348	0.566080033418884	BE	GSE81334
GSM2150660	0.622799484323883	0.530529943280264	0.50334235047524	0.599977714159966	BE	GSE81334
GSM2150661	0.65975532939535	0.548649397465099	0.507614804272317	0.62597222253245	BE	GSE81334
GSM2150662	0.609677729668865	0.474034139358094	0.440906869181516	0.57297373456597	BE	GSE81334
GSM2150663	0.658533884660813	0.510188015711123	0.475496114210024	0.603842324827661	BE	GSE81334
GSM2150664	0.577885114359822	0.413325731283997	0.334040682084468	0.563384665985872	EAC	GSE81334
GSM2150665	0.691892931821562	0.659153802420655	0.625671929821654	0.657167252555082	EAC	GSE81334
GSM2150666	0.654749053154318	0.511297550517769	0.473334778826264	0.611364943821868	EAC	GSE81334
GSM2150667	0.609731404547806	0.479741893493494	0.375119415865609	0.558923426503665	EAC	GSE81334
GSM2150668	0.633678011999819	0.509239837828838	0.477952347308769	0.643453872480246	EAC	GSE81334
GSM2150669	0.618056901457198	0.475396596885797	0.393173205035061	0.619823936265388	EAC	GSE81334
GSM2150670	0.632563584937959	0.576001665874777	0.500347111882869	0.597826245766657	EAC	GSE81334
GSM2150671	0.505200971055725	0.384333323052606	0.341055861473266	0.585801474263995	EAC	GSE81334
GSM2150672	0.494320337557532	0.387271478364305	0.355068907567371	0.539201943326219	EAC	GSE81334
GSM2150673	0.616231910083626	0.610487406966486	0.530591987010733	0.619349354004021	EAC	GSE81334
GSM2150674	0.532616963811407	0.2520870640865	0.213467619327031	0.545039607670246	EAC	GSE81334
GSM2150675	0.637088989373414	0.517301043417794	0.453428744160422	0.586280330403221	EAC	GSE81334
GSM2150676	0.664961912371729	0.589503756871878	0.562396718986626	0.604983853539391	EAC	GSE81334
