TF	non_tsDMRs	tsDMRs	non_tsDMRs_FDR	tsDMRs_FDR	ESCCMean	EACMean	ESCCTMean	ESCCNonmamlignant	ESCCvsEAC	ESCCTvsESCCN	deltaOR
STAT6	1.30300108890031	1.03486114218587	0.00000000142182833608441	0.828401876234732	29.104305530078	37.4863187817641	23.04	22.395	-0.250230956696151	-0.0523115520439378	-0.268139946714448
MAFK	1.55085278272019	1.25377349070846	2.58132600037935e-26	0.0782789203812536	9.48401889386914	12.8748779870085	3.009	2.033	-0.334927135142024	0.452916510093928	-0.297079292011724
TF7L1	1.30439617867418	0.977462723741207	0.0000000187696093935776	0.943691340715439	8.06544712583475	2.46392068529858	3.756	4.044	1.81573667347905	-0.180328242425312	-0.326933454932975
ZN384	1.33042819707898	0.996148017570623	0.000000000660776695086878	1	7.51958093340178	7.13845252336269	2.026	2.189	0.19151303935222	-0.225804564532257	-0.334280179508361
AP2A	1.4085613468704	1.02714271693843	0.00000000000000000000211556452820365	0.87106973878544	13.5953342115807	4.2742182267355	6.448	4.627	1.79619835147177	0.378644880685284	-0.381418629931975
JUND	2.44376433039099	1.72629769391177	5.28838842024534e-139	0.000000238324247177887	117.184294665797	140.518148513586	107.398	87.837	-0.183151059044005	0.266598623625739	-0.717466636479218
JUNB	2.36096892714903	1.56639737460908	6.69792453619098e-129	0.0000383344316530037	179.859364129864	120.584892789278	158.235	102.068	0.717008933543348	0.56905796620663	-0.794571552539954
FOSB	2.65081072350016	1.82954557780059	5.3109788056546e-165	0.0000000143894196433496	16.3965425928314	18.4689645852873	22.122	25.022	-0.0799662717304737	-1.78366962312314	-0.82126514569957
JUN	2.7677497525259	1.92765735028783	3.10585887563731e-177	0.000000000692804939066644	78.0136179800651	55.9660687599204	78.448	81.506	0.605209522040262	-0.152794991082771	-0.84009240223807
FOS	2.7178827499864	1.8370141483375	1.16986479000815e-172	0.0000000139642805381333	106.157306173387	111.541623050691	90.109	151.669	0.0812517710409749	-0.820114997856152	-0.880868601648908
FOSL2	2.85523986004328	1.9721078645299	1.39036335200845e-190	0.000000000193996090796927	52.920416395402	45.5399994124449	27.533	28.645	0.349955513479772	-0.163117500002625	-0.883131995513377
FOSL1	2.80974376169795	1.81694886030367	4.54530883984069e-186	0.0000000225594797112893	43.731453433248	31.3024361755002	14.102	5.064	0.563221844333723	1.42611987537508	-0.992794901394272
P53	4.80575066448666	2.9744848447273	0	9.98553075631756e-35	21.8074331144347	19.5327039898631	9.896	7.859	0.254578076280943	0.204831541961786	-1.83126581975936
P63	6.07245907315423	3.11033648741432	0	1.56401217635159e-38	105.037670982326	2.44462834821655	58.084	18.018	5.36140477032542	1.54423302053194	-2.96212258573992
